agency_cd,site_no,datetime,tz_cd,Gage,Gage_cd,Twater,Twater_cd,Precip,Precip_cd,Tair,Tair_cd
USGS,15239900,4/23/2018 21:45,AKDT,2.14,A,1.9,A,,,,
USGS,15239900,4/23/2018 22:00,AKDT,2.17,A,1.9,A,,,,
USGS,15239900,4/23/2018 22:15,AKDT,2.16,A,1.8,A,,,,
USGS,15239900,4/23/2018 22:30,AKDT,2.19,A,1.8,A,,,,
USGS,15239900,4/23/2018 22:45,AKDT,2.21,A,1.7,A,,,,
USGS,15239900,4/23/2018 23:00,AKDT,2.23,A,1.6,A,,,,
USGS,15239900,4/23/2018 23:15,AKDT,2.24,A,1.6,A,,,,
USGS,15239900,4/23/2018 23:30,AKDT,2.26,A,1.5,A,,,,
USGS,15239900,4/23/2018 23:45,AKDT,2.31,A,1.4,A,,,,
USGS,15239900,4/24/2018 0:00,AKDT,2.27,A,1.4,A,,,,
USGS,15239900,4/24/2018 0:15,AKDT,2.31,A,1.3,A,,,,
USGS,15239900,4/24/2018 0:30,AKDT,2.36,A,1.3,A,,,,
USGS,15239900,4/24/2018 0:45,AKDT,2.36,A,1.2,A,,,,
USGS,15239900,4/24/2018 1:00,AKDT,2.37,A,1.2,A,,,,
USGS,15239900,4/24/2018 1:15,AKDT,2.35,A,1.1,A,,,,
USGS,15239900,4/24/2018 1:30,AKDT,2.31,A,1.1,A,,,,
USGS,15239900,4/24/2018 1:45,AKDT,2.37,A,1,A,,,,
USGS,15239900,4/24/2018 2:00,AKDT,2.38,A,1,A,,,,
USGS,15239900,4/24/2018 2:15,AKDT,2.34,A,1,A,,,,
USGS,15239900,4/24/2018 2:30,AKDT,2.34,A,1,A,,,,
USGS,15239900,4/24/2018 2:45,AKDT,2.37,A,0.9,A,,,,
USGS,15239900,4/24/2018 3:00,AKDT,2.34,A,0.9,A,,,,
USGS,15239900,4/24/2018 3:15,AKDT,2.35,A,0.9,A,,,,
USGS,15239900,4/24/2018 3:30,AKDT,2.35,A,0.8,A,,,,
USGS,15239900,4/24/2018 3:45,AKDT,2.3,A,0.8,A,,,,
USGS,15239900,4/24/2018 4:00,AKDT,2.33,A,0.8,A,,,,
USGS,15239900,4/24/2018 4:15,AKDT,2.35,A,0.7,A,,,,
USGS,15239900,4/24/2018 4:30,AKDT,2.33,A,0.7,A,,,,
USGS,15239900,4/24/2018 4:45,AKDT,2.34,A,0.7,A,,,,
USGS,15239900,4/24/2018 5:00,AKDT,2.35,A,0.7,A,,,,
USGS,15239900,4/24/2018 5:15,AKDT,2.32,A,0.7,A,,,,
USGS,15239900,4/24/2018 5:30,AKDT,2.29,A,0.6,A,,,,
USGS,15239900,4/24/2018 5:45,AKDT,2.31,A,0.6,A,,,,
USGS,15239900,4/24/2018 6:00,AKDT,2.27,A,0.6,A,,,,
USGS,15239900,4/24/2018 6:15,AKDT,2.28,A,0.6,A,,,,
USGS,15239900,4/24/2018 6:30,AKDT,2.26,A,0.6,A,,,,
USGS,15239900,4/24/2018 6:45,AKDT,2.24,A,0.6,A,,,,
USGS,15239900,4/24/2018 7:00,AKDT,2.25,A,0.6,A,,,,
USGS,15239900,4/24/2018 7:15,AKDT,2.24,A,0.6,A,,,,
USGS,15239900,4/24/2018 7:30,AKDT,2.24,A,0.6,A,,,,
USGS,15239900,4/24/2018 7:45,AKDT,2.21,A,0.6,A,,,,
USGS,15239900,4/24/2018 8:00,AKDT,2.22,A,0.6,A,,,,
USGS,15239900,4/24/2018 8:15,AKDT,2.18,A,0.6,A,,,,
USGS,15239900,4/24/2018 8:30,AKDT,2.18,A,0.6,A,,,,
USGS,15239900,4/24/2018 8:45,AKDT,2.17,A,0.6,A,,,,
USGS,15239900,4/24/2018 9:00,AKDT,2.18,A,0.6,A,,,,
USGS,15239900,4/24/2018 9:15,AKDT,2.17,A,0.6,A,,,,
USGS,15239900,4/24/2018 9:30,AKDT,2.2,A,0.6,A,,,,
USGS,15239900,4/24/2018 9:45,AKDT,2.15,A,0.6,A,,,,
USGS,15239900,4/24/2018 10:00,AKDT,2.15,A,0.6,A,,,,
USGS,15239900,4/24/2018 10:15,AKDT,2.14,A,0.7,A,,,,
USGS,15239900,4/24/2018 10:30,AKDT,2.17,A,0.7,A,,,,
USGS,15239900,4/24/2018 10:45,AKDT,2.19,A,0.7,A,,,,
USGS,15239900,4/24/2018 11:00,AKDT,2.15,A,0.8,A,,,,
USGS,15239900,4/24/2018 11:15,AKDT,2.17,A,0.8,A,,,,
USGS,15239900,4/24/2018 11:30,AKDT,2.18,A,0.8,A,,,,
USGS,15239900,4/24/2018 11:45,AKDT,2.14,A,0.9,A,,,,
USGS,15239900,4/24/2018 12:00,AKDT,2.18,A,0.9,A,,,,
USGS,15239900,4/24/2018 12:15,AKDT,2.16,A,0.9,A,,,,
USGS,15239900,4/24/2018 12:30,AKDT,2.17,A,1,A,,,,
USGS,15239900,4/24/2018 12:45,AKDT,2.17,A,1,A,,,,
USGS,15239900,4/24/2018 13:00,AKDT,2.17,A,1.1,A,,,,
USGS,15239900,4/24/2018 13:15,AKDT,2.17,A,1.1,A,,,,
USGS,15239900,4/24/2018 13:30,AKDT,2.2,A,1.1,A,,,,
USGS,15239900,4/24/2018 13:45,AKDT,2.18,A,1.1,A,,,,
USGS,15239900,4/24/2018 14:00,AKDT,2.21,A,1.1,A,,,,
USGS,15239900,4/24/2018 14:15,AKDT,2.2,A,1.2,A,,,,
USGS,15239900,4/24/2018 14:30,AKDT,2.18,A,1.2,A,,,,
USGS,15239900,4/24/2018 14:45,AKDT,2.21,A,1.2,A,,,,
USGS,15239900,4/24/2018 15:00,AKDT,2.24,A,1.2,A,,,,
USGS,15239900,4/24/2018 15:15,AKDT,2.22,A,1.2,A,,,,
USGS,15239900,4/24/2018 15:30,AKDT,2.25,A,1.2,A,,,,
USGS,15239900,4/24/2018 15:45,AKDT,2.25,A,1.2,A,,,,
USGS,15239900,4/24/2018 16:00,AKDT,2.29,A,1.2,A,,,,
USGS,15239900,4/24/2018 16:15,AKDT,2.3,A,1.2,A,,,,
USGS,15239900,4/24/2018 16:30,AKDT,2.32,A,1.2,A,,,,
USGS,15239900,4/24/2018 16:45,AKDT,2.37,A,1.2,A,,,,
USGS,15239900,4/24/2018 17:00,AKDT,2.43,A,1.1,A,,,,
USGS,15239900,4/24/2018 17:15,AKDT,2.45,A,1.1,A,,,,
USGS,15239900,4/24/2018 17:30,AKDT,2.5,A,1.1,A,,,,
USGS,15239900,4/24/2018 17:45,AKDT,2.56,A,1.1,A,,,,
USGS,15239900,4/24/2018 18:00,AKDT,2.6,A,1.1,A,,,,
USGS,15239900,4/24/2018 18:15,AKDT,2.65,A,1,A,,,,
USGS,15239900,4/24/2018 18:30,AKDT,2.76,A,1,A,,,,
USGS,15239900,4/24/2018 18:45,AKDT,2.74,A,0.9,A,,,,
USGS,15239900,4/24/2018 19:00,AKDT,2.8,A,0.9,A,,,,
USGS,15239900,4/24/2018 19:15,AKDT,2.87,A,0.8,A,,,,
USGS,15239900,4/24/2018 19:30,AKDT,2.95,A,0.8,A,,,,
USGS,15239900,4/24/2018 19:45,AKDT,3.02,A,0.8,A,,,,
USGS,15239900,4/24/2018 20:00,AKDT,3.01,A,0.8,A,,,,
USGS,15239900,4/24/2018 20:15,AKDT,3.05,A,0.7,A,,,,
USGS,15239900,4/24/2018 20:30,AKDT,3.09,A,0.7,A,,,,
USGS,15239900,4/24/2018 20:45,AKDT,3.13,A,0.6,A,,,,
USGS,15239900,4/24/2018 21:00,AKDT,3.16,A,0.5,A,,,,
USGS,15239900,4/24/2018 21:15,AKDT,3.19,A,0.4,A,,,,
USGS,15239900,4/24/2018 21:30,AKDT,3.18,A,0.4,A,,,,
USGS,15239900,4/24/2018 21:45,AKDT,3.18,A,0.3,A,,,,
USGS,15239900,4/24/2018 22:00,AKDT,3.23,A,0.3,A,,,,
USGS,15239900,4/24/2018 22:15,AKDT,3.18,A,0.3,A,,,,
USGS,15239900,4/24/2018 22:30,AKDT,3.17,A,0.3,A,,,,
USGS,15239900,4/24/2018 22:45,AKDT,3.23,A,0.2,A,,,,
USGS,15239900,4/24/2018 23:00,AKDT,3.23,A,0.2,A,,,,
USGS,15239900,4/24/2018 23:15,AKDT,3.14,A,0.2,A,,,,
USGS,15239900,4/24/2018 23:30,AKDT,3.17,A,0.2,A,,,,
USGS,15239900,4/24/2018 23:45,AKDT,3.18,A,0.2,A,,,,
USGS,15239900,4/25/2018 0:00,AKDT,3.18,A,0.2,A,,,,
USGS,15239900,4/25/2018 0:15,AKDT,3.14,A,0.1,A,,,,
USGS,15239900,4/25/2018 0:30,AKDT,3.18,A,0.1,A,,,,
USGS,15239900,4/25/2018 0:45,AKDT,3.14,A,0.1,A,,,,
USGS,15239900,4/25/2018 1:00,AKDT,3.16,A,0.1,A,,,,
USGS,15239900,4/25/2018 1:15,AKDT,3.11,A,0.1,A,,,,
USGS,15239900,4/25/2018 1:30,AKDT,3.11,A,0.1,A,,,,
USGS,15239900,4/25/2018 1:45,AKDT,3.09,A,0.1,A,,,,
USGS,15239900,4/25/2018 2:00,AKDT,3.06,A,0.1,A,,,,
USGS,15239900,4/25/2018 2:15,AKDT,3.01,A,0.1,A,,,,
USGS,15239900,4/25/2018 2:30,AKDT,3,A,0.1,A,,,,
USGS,15239900,4/25/2018 2:45,AKDT,2.99,A,0.1,A,,,,
USGS,15239900,4/25/2018 3:00,AKDT,2.99,A,0.1,A,,,,
USGS,15239900,4/25/2018 3:15,AKDT,2.94,A,0.1,A,,,,
USGS,15239900,4/25/2018 3:30,AKDT,2.86,A,0.1,A,,,,
USGS,15239900,4/25/2018 3:45,AKDT,2.9,A,0.1,A,,,,
USGS,15239900,4/25/2018 4:00,AKDT,2.85,A,0.1,A,,,,
USGS,15239900,4/25/2018 4:15,AKDT,2.8,A,0.1,A,,,,
USGS,15239900,4/25/2018 4:30,AKDT,2.78,A,0.1,A,,,,
USGS,15239900,4/25/2018 4:45,AKDT,2.73,A,0.1,A,,,,
USGS,15239900,4/25/2018 5:00,AKDT,2.73,A,0.1,A,,,,
USGS,15239900,4/25/2018 5:15,AKDT,2.67,A,0,A,,,,
USGS,15239900,4/25/2018 5:30,AKDT,2.69,A,0,A,,,,
USGS,15239900,4/25/2018 5:45,AKDT,2.66,A,0,A,,,,
USGS,15239900,4/25/2018 6:00,AKDT,2.58,A,0,A,,,,
USGS,15239900,4/25/2018 6:15,AKDT,2.59,A,0,A,,,,
USGS,15239900,4/25/2018 6:30,AKDT,2.54,A,0,A,,,,
USGS,15239900,4/25/2018 6:45,AKDT,2.54,A,0,A,,,,
USGS,15239900,4/25/2018 7:00,AKDT,2.51,A,0,A,,,,
USGS,15239900,4/25/2018 7:15,AKDT,2.51,A,0,A,,,,
USGS,15239900,4/25/2018 7:30,AKDT,2.47,A,0,A,,,,
USGS,15239900,4/25/2018 7:45,AKDT,2.42,A,0,A,,,,
USGS,15239900,4/25/2018 8:00,AKDT,2.43,A,0,A,,,,
USGS,15239900,4/25/2018 8:15,AKDT,2.38,A,0,A,,,,
USGS,15239900,4/25/2018 8:30,AKDT,2.42,A,0,A,,,,
USGS,15239900,4/25/2018 8:45,AKDT,2.4,A,0,A,,,,
USGS,15239900,4/25/2018 9:00,AKDT,2.38,A,0,A,,,,
USGS,15239900,4/25/2018 9:15,AKDT,2.29,A,0.1,A,,,,
USGS,15239900,4/25/2018 9:30,AKDT,2.31,A,0.1,A,,,,
USGS,15239900,4/25/2018 9:45,AKDT,2.29,A,0.2,A,,,,
USGS,15239900,4/25/2018 10:00,AKDT,2.28,A,0.3,A,,,,
USGS,15239900,4/25/2018 10:15,AKDT,2.26,A,0.4,A,,,,
USGS,15239900,4/25/2018 10:30,AKDT,2.27,A,0.6,A,,,,
USGS,15239900,4/25/2018 10:45,AKDT,2.24,A,0.7,A,,,,
USGS,15239900,4/25/2018 11:00,AKDT,2.23,A,0.9,A,,,,
USGS,15239900,4/25/2018 11:15,AKDT,2.21,A,1,A,,,,
USGS,15239900,4/25/2018 11:30,AKDT,2.2,A,1.1,A,,,,
USGS,15239900,4/25/2018 11:45,AKDT,2.16,A,1.2,A,,,,
USGS,15239900,4/25/2018 12:00,AKDT,2.21,A,1.4,A,,,,
USGS,15239900,4/25/2018 12:15,AKDT,2.19,A,1.5,A,,,,
USGS,15239900,4/25/2018 12:30,AKDT,2.16,A,1.7,A,,,,
USGS,15239900,4/25/2018 12:45,AKDT,2.13,A,1.9,A,,,,
USGS,15239900,4/25/2018 13:00,AKDT,2.15,A,2,A,,,,
USGS,15239900,4/25/2018 13:15,AKDT,2.15,A,2.2,A,,,,
USGS,15239900,4/25/2018 13:30,AKDT,2.14,A,2.4,A,,,,
USGS,15239900,4/25/2018 13:45,AKDT,2.13,A,2.4,A,,,,
USGS,15239900,4/25/2018 14:00,AKDT,2.09,A,2.6,A,,,,
USGS,15239900,4/25/2018 14:15,AKDT,2.13,A,2.7,A,,,,
USGS,15239900,4/25/2018 14:30,AKDT,2.11,A,2.8,A,,,,
USGS,15239900,4/25/2018 14:45,AKDT,2.12,A,2.9,A,,,,
USGS,15239900,4/25/2018 15:00,AKDT,2.1,A,3,A,,,,
USGS,15239900,4/25/2018 15:15,AKDT,2.09,A,3.2,A,,,,
USGS,15239900,4/25/2018 15:30,AKDT,2.1,A,3.3,A,,,,
USGS,15239900,4/25/2018 15:45,AKDT,2.11,A,3.5,A,,,,
USGS,15239900,4/25/2018 16:00,AKDT,2.11,A,3.7,A,,,,
USGS,15239900,4/25/2018 16:15,AKDT,2.09,A,3.8,A,,,,
USGS,15239900,4/25/2018 16:30,AKDT,2.08,A,3.9,A,,,,
USGS,15239900,4/25/2018 16:45,AKDT,2.08,A,3.9,A,,,,
USGS,15239900,4/25/2018 17:00,AKDT,2.11,A,3.9,A,,,,
USGS,15239900,4/25/2018 17:15,AKDT,2.1,A,3.9,A,,,,
USGS,15239900,4/25/2018 17:30,AKDT,2.14,A,3.9,A,,,,
USGS,15239900,4/25/2018 17:45,AKDT,2.1,A,3.9,A,,,,
USGS,15239900,4/25/2018 18:00,AKDT,2.11,A,3.9,A,,,,
USGS,15239900,4/25/2018 18:15,AKDT,2.11,A,4,A,,,,
USGS,15239900,4/25/2018 18:30,AKDT,2.09,A,4.1,A,,,,
USGS,15239900,4/25/2018 18:45,AKDT,2.11,A,4.1,A,,,,
USGS,15239900,4/25/2018 19:00,AKDT,2.12,A,4.1,A,,,,
USGS,15239900,4/25/2018 19:15,AKDT,2.12,A,4.1,A,,,,
USGS,15239900,4/25/2018 19:30,AKDT,2.15,A,4.1,A,,,,
USGS,15239900,4/25/2018 19:45,AKDT,2.18,A,4.1,A,,,,
USGS,15239900,4/25/2018 20:00,AKDT,2.14,A,4.1,A,,,,
USGS,15239900,4/25/2018 20:15,AKDT,2.16,A,4,A,,,,
USGS,15239900,4/25/2018 20:30,AKDT,2.19,A,3.9,A,,,,
USGS,15239900,4/25/2018 20:45,AKDT,2.19,A,3.8,A,,,,
USGS,15239900,4/25/2018 21:00,AKDT,2.17,A,3.8,A,,,,
USGS,15239900,4/25/2018 21:15,AKDT,2.2,A,3.7,A,,,,
USGS,15239900,4/25/2018 21:30,AKDT,2.24,A,3.6,A,,,,
USGS,15239900,4/25/2018 21:45,AKDT,2.23,A,3.5,A,,,,
USGS,15239900,4/25/2018 22:00,AKDT,2.25,A,3.4,A,,,,
USGS,15239900,4/25/2018 22:15,AKDT,2.27,A,3.3,A,,,,
USGS,15239900,4/25/2018 22:30,AKDT,2.27,A,3.2,A,,,,
USGS,15239900,4/25/2018 22:45,AKDT,2.33,A,3.1,A,,,,
USGS,15239900,4/25/2018 23:00,AKDT,2.29,A,3,A,,,,
USGS,15239900,4/25/2018 23:15,AKDT,2.31,A,2.9,A,,,,
USGS,15239900,4/25/2018 23:30,AKDT,2.29,A,2.8,A,,,,
USGS,15239900,4/25/2018 23:45,AKDT,2.34,A,2.7,A,,,,
USGS,15239900,4/26/2018 0:00,AKDT,2.37,A,2.6,A,,,,
USGS,15239900,4/26/2018 0:15,AKDT,2.34,A,2.5,A,,,,
USGS,15239900,4/26/2018 0:30,AKDT,2.38,A,2.4,A,,,,
USGS,15239900,4/26/2018 0:45,AKDT,2.4,A,2.3,A,,,,
USGS,15239900,4/26/2018 1:00,AKDT,2.38,A,2.2,A,,,,
USGS,15239900,4/26/2018 1:15,AKDT,2.4,A,2.2,A,,,,
USGS,15239900,4/26/2018 1:30,AKDT,2.39,A,2.1,A,,,,
USGS,15239900,4/26/2018 1:45,AKDT,2.4,A,2,A,,,,
USGS,15239900,4/26/2018 2:00,AKDT,2.39,A,2,A,,,,
USGS,15239900,4/26/2018 2:15,AKDT,2.38,A,1.9,A,,,,
USGS,15239900,4/26/2018 2:30,AKDT,2.42,A,1.9,A,,,,
USGS,15239900,4/26/2018 2:45,AKDT,2.4,A,1.8,A,,,,
USGS,15239900,4/26/2018 3:00,AKDT,2.41,A,1.7,A,,,,
USGS,15239900,4/26/2018 3:15,AKDT,2.4,A,1.6,A,,,,
USGS,15239900,4/26/2018 3:30,AKDT,2.43,A,1.5,A,,,,
USGS,15239900,4/26/2018 3:45,AKDT,2.44,A,1.5,A,,,,
USGS,15239900,4/26/2018 4:00,AKDT,2.41,A,1.4,A,,,,
